title,year,score,scored_by,members,rank,genres,demographics
Rozen Maiden,2004,7.4,101312,217890,2475,"Action, Drama, Supernatural",Seinen
Rozen Maiden: Träumend,2005,7.61,61306,110618,1625,"Action, Drama, Supernatural",Seinen
Azumanga Daiou The Animation,2002,8.07,180525,418227,608,Comedy,
Basilisk: Kouga Ninpou Chou,2005,7.53,81429,201631,1935,"Action, Drama, Romance",Seinen
Black Cat,2005,7.31,133064,281529,2929,"Action, Adventure, Sci-Fi",Shounen
Cluster Edge,2005,6.31,3453,11858,8639,"Action, Fantasy, Sci-Fi",
Full Metal Panic!,2002,7.59,250248,525572,1709,Comedy,
Full Metal Panic? Fumoffu,2003,8.01,180806,309558,697,"Action, Comedy",
Full Metal Panic! The Second Raid,2005,7.91,153023,271772,863,,
Gakuen Alice,2004,7.64,53870,106099,1547,Comedy,Shoujo
Soukyuu no Fafner: Dead Aggressor,2004,7.25,16120,52485,3232,"Drama, Sci-Fi",
Mahou Shoujo Lyrical Nanoha,2004,7.41,44022,110025,2451,"Action, Comedy, Drama",
Mahou Shoujo Lyrical Nanoha A's,2005,7.95,35405,69102,788,"Action, Comedy, Drama",
Shuffle!,2005,7,139098,291166,4614,"Comedy, Fantasy, Romance, Ecchi",
Kidou Senshi Gundam,1979,7.77,67576,149369,1182,"Drama, Sci-Fi",
Kidou Senshi Zeta Gundam,1985,7.9,44357,86393,883,"Drama, Romance, Sci-Fi",
Kidou Senshi Gundam ZZ,1986,6.68,25421,50378,6341,"Comedy, Drama, Sci-Fi",
Kidou Senshi Victory Gundam,1993,6.71,12761,31781,6144,"Drama, Sci-Fi",
Shin Kidou Senki Gundam Wing,1995,7.66,94303,170193,1484,"Drama, Sci-Fi",
Kidou Shinseiki Gundam X,1996,7.34,17619,40033,2789,"Adventure, Drama, Sci-Fi",
Kidou Senshi Gundam SEED,2002,7.73,101476,183674,1294,"Award Winning, Drama, Romance, Sci-Fi",
Kidou Senshi Gundam SEED Destiny,2004,7.17,69301,116229,3712,"Drama, Romance, Sci-Fi",
Turn A Gundam,1999,7.8,19374,54902,1128,"Adventure, Award Winning, Drama, Romance, Sci-Fi",
Kidou Butouden G Gundam,1994,7.59,39949,74937,1720,"Drama, Romance, Sci-Fi",
Last Exile,2003,7.78,73728,185796,1159,"Action, Adventure, Sci-Fi",
Mai-HiME,2004,7.39,53417,121254,2537,"Action, Girls Love",
Mai-Otome,2005,7.27,26243,53952,3122,"Comedy, Drama, Fantasy",
Shin Shirayuki-hime Densetsu Prétear,2001,7.15,30250,68481,3825,"Drama, Romance",Shoujo
Air,2005,7.27,158492,310997,3143,"Drama, Romance, Supernatural",
Aishiteruze Baby★★,2004,7.43,55141,107146,2345,"Comedy, Drama, Romance",Shoujo
Akazukin Chacha,1994,7.41,6257,17753,2428,"Adventure, Comedy, Romance",Shoujo
Ayashi no Ceres,2000,7.17,28529,66014,3694,"Adventure, Drama, Horror, Romance, Supernatural",Shoujo
Boys Be...,2000,6.38,9991,25399,8188,"Comedy, Romance",Shounen
Hana yori Dango,1996,7.56,26927,66663,1822,"Drama, Romance",Shoujo
Ou Dorobou Jing,2002,7.17,15208,39940,3725,"Adventure, Comedy, Fantasy, Sci-Fi",Shounen
Bakuretsu Tenshi,2004,6.77,32417,75580,5766,"Adventure, Sci-Fi",
Chuuka Ichiban!,1997,7.59,8798,21645,1704,"Action, Comedy, Drama, Gourmet",Shounen
Corrector Yui,1999,6.87,7805,19062,5209,"Adventure, Comedy, Sci-Fi",
Chou Henshin Cosprayers,2004,4.83,3698,9826,14227,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",
Uchuu no Stellvia,2003,7.32,10267,26853,2900,"Romance, Sci-Fi",
Sakigake!! Cromartie Koukou,2003,7.88,57823,152953,918,Comedy,Shounen
Ijigen no Sekai El-Hazard,1998,6.77,5564,13174,5785,"Adventure, Comedy, Fantasy",
Shinpi no Sekai El-Hazard (TV),1995,6.93,7845,20010,4920,"Adventure, Comedy, Fantasy, Romance",
Final Approach,2004,6.49,18318,37254,7533,"Comedy, Drama, Romance",
Fruits Basket,2001,7.69,293358,564139,1415,"Drama, Romance, Supernatural",Shoujo
Fullmetal Alchemist,2003,8.11,927184,1546233,550,"Action, Adventure, Award Winning, Drama, Fantasy",Shounen
Full Moon wo Sagashite,2002,7.93,49905,117165,829,"Comedy, Drama, Romance, Supernatural",Shoujo
Fushigi Yuugi,1995,7.6,54245,127990,1690,"Action, Adventure, Fantasy, Romance",Shoujo
Futakoi,2004,6.41,16780,37358,8020,"Comedy, Romance",
Futakoi Alternative,2005,6.83,12476,33334,5455,"Comedy, Drama, Romance",
Gate Keepers,2000,6.9,10006,24098,5051,"Comedy, Fantasy, Sci-Fi",
Gensoumaden Saiyuuki,2000,7.53,22191,58735,1944,"Action, Adventure, Drama, Fantasy",Shounen
Saiyuuki Reload,2003,7.36,14208,38088,2665,"Action, Adventure, Comedy, Drama, Supernatural",Josei
Saiyuuki Reload Gunlock,2004,7.37,9046,25267,2609,"Action, Adventure, Comedy, Drama, Supernatural",Josei
GetBackers,2002,7.56,55449,128139,1821,"Action, Mystery, Supernatural",Shounen
Green Green,2003,6.12,67841,121710,9748,"Comedy, Romance, Ecchi",
Gunslinger Girl,2003,7.38,80982,201989,2576,"Action, Drama, Sci-Fi, Suspense",
Hikaru no Go,2001,8.07,66432,148815,616,"Comedy, Drama, Supernatural",Shounen
Hunter x Hunter,1999,8.43,311416,640995,199,"Action, Adventure, Fantasy",Shounen
Jinki:Extend,2005,6.04,4861,13222,10214,Sci-Fi,Shounen
Kamikaze Kaitou Jeanne,1999,7.47,29913,60796,2195,"Action, Drama, Romance, Supernatural",Shoujo
Kannazuki no Miko,2004,6.79,31902,76162,5639,"Drama, Girls Love, Supernatural",Shounen
Kanon,2002,7.05,28555,70352,4352,"Drama, Romance, Supernatural",
Kareshi Kanojo no Jijou,1998,7.59,85955,251439,1717,"Comedy, Drama, Romance",Shoujo
Kono Minikuku mo Utsukushii Sekai,2004,6.69,29675,64310,6258,"Comedy, Drama, Romance, Sci-Fi, Ecchi",
Kimi ga Nozomu Eien,2003,7.16,70890,148960,3794,"Drama, Romance",
Kita e.: Diamond Dust Drops,2004,6.55,3167,10493,7095,"Drama, Romance",
Loveless,2005,6.7,72342,146376,6170,"Boys Love, Drama, Mystery, Supernatural",Josei
Blood+,2005,7.6,164634,395249,1682,"Action, Drama, Horror, Mystery, Supernatural",
Solty Rei,2005,7.24,13523,32761,3313,"Action, Sci-Fi",
Juuni Kokuki,2002,8,49078,170539,720,"Action, Adventure, Fantasy",
Shaman King,2001,7.73,202352,382509,1280,"Action, Adventure, Supernatural",Shounen
X,2001,7.38,36751,88929,2601,"Action, Drama, Fantasy, Mystery",Shoujo
Mahou Sensei Negima!,2005,6.92,66224,147646,4980,"Action, Comedy, Fantasy, Romance, Ecchi",Shounen
Maria-sama ga Miteru,2004,7.28,23243,76197,3098,"Drama, Girls Love",Shoujo
Boukyaku no Senritsu,2004,6.26,6582,20412,8941,"Adventure, Fantasy, Horror, Sci-Fi",Shounen
"Ima, Soko ni Iru Boku",1999,7.57,45526,158566,1770,"Adventure, Drama, Fantasy, Sci-Fi",
Peace Maker Kurogane,2003,7.28,24247,60835,3109,Action,Shounen
Pita Ten,2002,6.92,11276,25769,4993,"Comedy, Fantasy, Romance",Shounen
Power Stone,1999,6.46,4342,9234,7697,"Adventure, Comedy, Fantasy",
RahXephon,2002,7.37,45069,127738,2608,"Award Winning, Drama, Mystery, Romance, Sci-Fi, Suspense",
Samurai 7,2004,7.43,64967,137819,2332,Sci-Fi,
Scrapped Princess,2003,7.36,39652,102793,2666,"Adventure, Drama, Fantasy, Sci-Fi",
s.CRY.ed,2001,7.35,39987,87488,2736,"Action, Adventure, Drama, Sci-Fi",
Shingetsutan Tsukihime,2003,6.78,74497,178958,5737,"Action, Horror, Mystery, Romance, Supernatural",
Slam Dunk,1993,8.55,149916,333970,132,Sports,Shounen
Strange Dawn,2000,6.25,2180,7241,9005,"Adventure, Drama, Fantasy",
Tactics,2004,7.18,14787,43136,3662,"Mystery, Supernatural",Shounen
Tenjou Tenge,2004,6.86,93605,199152,5261,"Action, Drama, Supernatural, Ecchi",Seinen
Tokyo Underground,2002,6.58,12319,31679,6959,"Action, Adventure, Romance, Sci-Fi",Shounen
Tsubasa Chronicle,2005,7.51,99691,239688,2045,"Action, Adventure, Drama, Fantasy, Romance",Shounen
Ultra Maniac,2003,7.15,14658,36260,3830,"Comedy, Fantasy, Romance",Shoujo
Vandread,2000,7.15,45360,89619,3833,"Sci-Fi, Ecchi",
Vandread: The Second Stage,2001,7.37,33013,57054,2618,"Sci-Fi, Ecchi",
Tenkuu no Escaflowne,1996,7.65,69719,175141,1529,"Adventure, Fantasy, Romance",
Whistle!,2002,7.36,7421,15812,2679,Sports,Shounen
Xenosaga The Animation,2005,6.32,9006,22251,8537,Sci-Fi,
Initial D First Stage,1998,8.36,215161,432745,250,"Action, Drama",Seinen
Initial D Second Stage,1999,8.19,150495,259355,439,"Action, Drama",Seinen
Love Hina,2000,7.08,139899,279378,4217,"Comedy, Romance, Ecchi",Shounen
Maburaho,2003,6.72,49972,101850,6067,"Comedy, Drama, Romance, Ecchi",
Onegai☆Teacher,2002,7.08,98824,187401,4229,"Drama, Romance, Sci-Fi",
Onegai☆Twins,2003,6.8,51401,94192,5630,"Comedy, Drama, Sci-Fi",
Rizelmine,2002,6.49,11231,27119,7500,"Comedy, Romance, Sci-Fi, Ecchi",
Speed Grapher,2005,7.29,43225,124136,3041,"Action, Mystery, Suspense",
Tenshi na Konamaiki,2002,7.42,10618,30532,2397,"Comedy, Romance",Shounen
Wolf's Rain,2003,7.79,137948,349975,1135,"Action, Adventure, Drama, Fantasy, Mystery",
Yumeria,2004,6.05,13353,29869,10172,"Action, Comedy, Ecchi",
Samurai Champloo,2004,8.52,680089,1336117,149,"Action, Adventure, Comedy",
Lodoss-tou Senki: Eiyuu Kishi Den,1998,7.11,12779,39329,4063,"Action, Adventure, Drama, Fantasy, Romance",
R.O.D: The TV,2003,7.52,30277,73889,1980,"Action, Adventure, Comedy, Drama, Sci-Fi",
Ranma ½,1989,7.77,130717,281208,1190,"Action, Comedy, Romance, Ecchi",Shounen
Kidou Senkan Nadesico,1996,7.49,21347,59463,2131,"Comedy, Romance, Sci-Fi",
Mezzo DSA,2004,6.61,9627,26644,6759,"Action, Adventure, Comedy, Mystery, Sci-Fi",
Dragon Ball,1986,7.98,718790,1127102,741,"Action, Adventure, Comedy, Fantasy",Shounen
Dragon Ball GT,1996,6.52,449018,672579,7338,"Action, Adventure, Comedy, Fantasy",Shounen
Elfen Lied,2004,7.46,916651,1602661,2237,"Action, Drama, Horror, Romance, Suspense",Seinen
Jigoku Shoujo,2005,7.6,139128,382253,1665,"Horror, Mystery, Supernatural, Suspense",
Ninin ga Shinobuden,2004,6.87,16885,37487,5236,Comedy,
Air Master,2003,6.94,17170,43400,4871,"Action, Comedy",Seinen
Asagiri no Miko,2002,6.09,2910,8988,9914,"Action, Comedy, Supernatural",Seinen
Cardcaptor Sakura,1998,8.18,232556,481266,461,"Adventure, Comedy, Drama, Romance",Shoujo
Daa! Daa! Daa!,2000,7.63,12512,27703,1581,"Comedy, Sci-Fi",Shoujo
Dan Doh!!,2004,6.63,2116,5182,6625,"Adventure, Sports",Shounen
Meitantei Conan,1996,8.18,168921,374810,456,"Adventure, Comedy, Mystery",Shounen
E's Otherwise,2003,6.57,7427,17622,7000,"Action, Adventure, Drama, Sci-Fi",Shounen
Koukyoushihen Eureka Seven,2005,8.04,188016,456705,658,"Adventure, Drama, Romance, Sci-Fi",
Rekka no Honoo,1997,7.33,29623,72152,2824,"Action, Adventure",Shounen
Gankutsuou,2004,8.11,78556,268076,553,"Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense",
Genshiken,2004,7.63,74250,190600,1587,Comedy,Seinen
Girls Bravo: First Season,2004,6.35,75044,159439,8371,"Comedy, Fantasy, Romance, Ecchi",Shounen
Gokusen,2004,7.42,23619,53033,2420,"Action, Comedy",Josei
Gravitation,2000,6.89,67099,125466,5119,"Boys Love, Comedy",Shoujo
Agatha Christie no Meitantei Poirot to Marple,2004,6.88,2666,8744,5180,Mystery,
Great Teacher Onizuka,1999,8.68,443949,908080,74,Comedy,Shounen
Groove Adventure Rave,2001,7.2,42608,106131,3536,"Action, Adventure, Comedy, Fantasy, Romance",Shounen
Harukanaru Toki no Naka de: Hachiyou Shou,2004,6.99,8336,26883,4641,"Fantasy, Romance",
Ichigo 100%,2005,6.61,56532,120309,6748,"Comedy, Romance, Ecchi",Shounen
InuYasha,2000,7.87,412582,852795,941,"Action, Adventure, Fantasy, Romance",Shounen
Konjiki no Gash Bell!!,2003,7.55,63809,136422,1881,"Action, Adventure, Comedy, Supernatural",Shounen
Kyou kara Maou!,2004,7.61,43769,122042,1653,"Adventure, Comedy, Fantasy",Shoujo
Madlax,2004,7.01,14642,45773,4584,"Drama, Mystery, Supernatural",
Jungle wa Itsumo Hare nochi Guu,2001,7.8,26782,49783,1111,Comedy,Shounen
Ikkitousen,2003,6.37,73559,175171,8220,"Action, Ecchi",Seinen
Happy☆Lesson (TV),2002,6.6,12780,30746,6817,"Comedy, Drama, Romance",
Happy☆Lesson Advance,2003,6.76,6973,16436,5857,"Comedy, Romance",
Hajime no Ippo,2000,8.78,336274,681397,37,Sports,Shounen
Gunparade March: Arata Naru Kougunka,2003,6.69,6720,18510,6247,"Drama, Romance, Sci-Fi",
Gungrave,2003,7.81,84894,216689,1096,"Action, Drama, Sci-Fi",
Bleach,2004,7.99,1243185,2173385,733,"Action, Adventure, Supernatural",Shounen
Hellsing,2001,7.5,392725,783235,2079,"Action, Horror, Supernatural",Seinen
Gad Guard,2003,6.64,5281,15699,6606,"Adventure, Sci-Fi",
Noir,2001,7.27,41836,122648,3125,"Action, Drama, Mystery",
Mahoutsukai ni Taisetsu na Koto,2003,6.68,7910,29554,6346,"Fantasy, Slice of Life",Shounen
Kiddy Grade,2002,7.16,19954,49241,3792,Sci-Fi,
Love♥Love?,2004,5.83,10158,23526,11375,"Comedy, Romance, Ecchi",
Mahoromatic: Automatic Maiden,2001,7.13,27999,69367,3958,"Comedy, Romance, Sci-Fi, Ecchi",Seinen
Mahoromatic: Motto Utsukushii Mono,2002,7.12,17447,35182,3982,"Comedy, Drama, Romance, Sci-Fi, Ecchi",Seinen
Viewtiful Joe,2004,6.76,5885,13158,5838,"Action, Comedy, Sci-Fi",
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,2003,7.06,10853,43505,4286,"Horror, Mystery, Supernatural",
Animal Yokochou,2005,7.03,1431,3976,4474,"Adventure, Comedy, Fantasy",Shoujo
Angel Heart,2005,7.25,6139,20184,3243,"Action, Drama, Mystery, Romance",Seinen
Akage no Anne,1979,7.86,23077,51876,968,Drama,
Area 88 (TV),2004,6.98,6071,16001,4683,"Action, Drama, Romance",Shounen
Argento Soma,2000,6.74,8028,30557,5930,"Adventure, Drama, Sci-Fi",
B'T X,1996,7.02,5892,13424,4495,"Adventure, Sci-Fi",Shounen
Grappler Baki (TV),2001,7.44,84090,163491,2302,Sports,Shounen
Bakuten Shoot Beyblade,2001,6.8,76002,121488,5597,"Adventure, Comedy, Sports",Kids
Comic Party,2001,6.56,8767,22000,7056,"Comedy, Drama",
Seikai no Monshou,1999,7.62,19547,57307,1613,"Action, Romance, Sci-Fi",
D.C.S.S: Da Capo Second Season,2005,6.92,16442,35253,4969,"Comedy, Drama, Romance, Supernatural",
Dear Boys,2003,6.76,10752,23529,5850,"Drama, Sports",Shounen
Di Gi Charat,1999,6.83,12495,29002,5449,"Comedy, Fantasy, Sci-Fi",
Divergence Eve,2003,5.9,4919,15170,11011,"Adventure, Drama, Sci-Fi",
Divergence Eve 2: Misaki Chronicles,2004,6.28,3184,8754,8847,"Adventure, Drama, Sci-Fi",
Dragon Drive,2002,6.69,10237,24858,6239,"Action, Adventure, Fantasy, Sci-Fi",Shounen
Grenadier: Hohoemi no Senshi,2004,6.67,26394,59236,6419,"Action, Adventure, Comedy, Ecchi",Shounen
.hack//Tasogare no Udewa Densetsu,2003,6.55,36348,71036,7135,"Adventure, Comedy, Fantasy",Shounen
Cinderella Boy,2003,6.32,3139,8794,8550,"Action, Adventure, Comedy, Mystery",Seinen
Mirai Shounen Conan,1978,8.09,18876,57234,593,"Adventure, Drama, Sci-Fi",
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,1998,6.87,10612,23522,5199,"Comedy, Supernatural",
Abenobashi Mahou☆Shoutengai,2002,7.21,36415,97470,3489,"Award Winning, Comedy, Fantasy, Ecchi",
Kerokko Demetan,1973,6.07,946,2020,10046,"Comedy, Fantasy",Kids
Zettai Shounen,2005,6.86,4491,22328,5267,"Drama, Fantasy, Mystery, Sci-Fi",
Akahori Gedou Hour Rabuge,2005,6.1,2009,7133,9889,Comedy,
"Chiisana Obake: Acchi, Kocchi, Socchi",1991,6.1,951,2318,9897,"Comedy, Supernatural",
Ace wo Nerae!,1973,7.1,4489,16109,4100,"Drama, Romance, Sports",Shoujo
Hand Maid May,2000,6.68,14420,32785,6328,"Comedy, Romance, Sci-Fi, Ecchi",
Najica Dengeki Sakusen,2001,5.96,6816,16766,10681,"Action, Comedy, Sci-Fi, Ecchi",
Paradise Kiss,2005,7.88,109369,256627,941,"Drama, Romance",Josei
Mousou Dairinin,2004,7.66,178514,467010,1482,"Avant Garde, Award Winning, Drama, Mystery, Supernatural, Suspense",
Kidou Keisatsu Patlabor: On Television,1989,7.7,11454,45710,1380,"Comedy, Sci-Fi",
Peach Girl,2005,6.92,55377,113838,4991,"Drama, Romance",Shoujo
Petshop of Horrors,1999,7.24,34214,76040,3308,"Horror, Mystery, Supernatural",Josei
Puchi Pri*Yucie,2002,7.4,6743,16979,2527,"Comedy, Fantasy",
Piano,2002,5.98,3606,9909,10530,"Drama, Romance",
Planetes,2003,8.24,82431,277209,382,"Award Winning, Drama, Romance, Sci-Fi",Seinen
Midori no Hibi,2004,7.21,93834,181546,3471,"Comedy, Romance, Supernatural, Ecchi",Shounen
Mahoujin Guruguru,1994,7.58,4064,12254,1767,"Adventure, Comedy, Fantasy",Shounen
Dokidoki♡Densetsu: Mahoujin Guruguru,2000,7.12,1813,4829,4013,"Adventure, Comedy, Fantasy",Shounen
Mama wa Shougaku 4-nensei,1992,7.33,3100,8110,2811,"Award Winning, Comedy, Drama, Sci-Fi",
Marmalade Boy,1994,7.41,23427,60490,2453,"Comedy, Drama, Romance",Shoujo
Matantei Loki Ragnarok,2003,7.24,17187,41035,3301,"Comedy, Mystery, Supernatural",Shounen
Ginyuu Mokushiroku Meine Liebe,2004,6.43,4424,14135,7914,"Drama, Fantasy",
Psychic Academy,2002,6.17,5140,12777,9494,"Comedy, Romance, Ecchi",Seinen
Versailles no Bara,1979,8.35,33728,112863,266,"Drama, Romance",Shoujo
Serial Experiments Lain,1998,8.1,349384,883343,563,"Avant Garde, Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense",
Mutsu Enmei Ryuu Gaiden: Shura no Toki,2004,7.54,10446,26244,1903,Action,Shounen
Spiral: Suiri no Kizuna,2002,7.2,23740,55085,3567,"Drama, Mystery",Shounen
Starship Operators,2005,6.92,6041,17569,4945,"Drama, Sci-Fi",
Tsukuyomi: Moon Phase,2004,6.92,31444,81197,4951,"Comedy, Romance, Supernatural",Seinen
Futatsu no Spica,2003,7.35,4378,11771,2710,"Drama, Sci-Fi, Supernatural",
Eikoku Koi Monogatari Emma,2005,7.61,20598,64844,1641,"Drama, Romance",Seinen
W: Wish,2004,6.11,6016,17012,9793,"Drama, Romance",
Wild Arms: Twilight Venom,1999,6.62,3545,9366,6701,"Action, Adventure, Fantasy, Sci-Fi",
Binzume Yousei,2003,6.44,8844,20933,7818,"Comedy, Fantasy",
Magical Canan,2005,6.07,2070,7483,10053,"Drama, Ecchi",
Ojamajo Doremi,1999,7.34,26540,62526,2799,Comedy,
Ojamajo Doremi Sharp,2000,7.47,12178,25022,2202,Comedy,
Motto! Ojamajo Doremi,2001,7.48,11593,24172,2146,Comedy,
Ojamajo Doremi Dokkaan!,2002,7.75,8732,19661,1228,Comedy,
UG☆Ultimate Girls,2005,5.59,3981,10637,12538,"Comedy, Sci-Fi, Ecchi",
Shakugan no Shana,2005,7.43,264687,555964,2333,"Action, Drama, Fantasy, Romance",
Fate/stay night,2006,7.27,542758,995291,3159,"Action, Fantasy, Romance",
Himiko-den,1999,6.13,2333,7055,9736,"Adventure, Drama, Fantasy",
Gallery Fake,2005,7.4,4110,17029,2509,Mystery,Seinen
Boogiepop wa Warawanai,2000,7.15,37558,151584,3844,"Avant Garde, Drama, Horror, Mystery, Supernatural, Suspense",
Burn Up Excess,1997,6.54,5234,13884,7163,"Action, Adventure, Comedy, Mystery, Sci-Fi, Ecchi",
Bannou Bunka Neko-Musume (1998),1998,6.5,3653,10067,7432,"Adventure, Comedy, Sci-Fi",Seinen
Heppoko Jikken Animation Excel♥Saga,1999,7.48,50869,118402,2170,"Comedy, Sci-Fi",Seinen
Galaxy Angel,2001,7.02,12462,32080,4505,"Comedy, Sci-Fi",
Gantz,2004,6.97,188335,380370,4748,"Action, Drama, Horror, Sci-Fi, Suspense",Seinen
Gilgamesh,2003,6.59,12196,46524,6900,"Drama, Sci-Fi, Suspense",Shounen
H2,1995,7.23,3856,11055,3371,"Comedy, Romance, Sports",Shounen
Haibane Renmei,2002,7.99,113207,328348,735,"Drama, Fantasy, Mystery",
Capeta,2005,7.82,24425,42066,1064,Sports,Shounen
Suzuka,2005,7.15,56053,122530,3830,"Drama, Romance, Sports",Shounen
Yuu☆Yuu☆Hakusho,1992,8.46,355011,745562,179,"Action, Supernatural",Shounen
Ai Yori Aoshi: Enishi,2003,7.11,33841,62001,4033,"Comedy, Drama, Romance",Seinen
Gantz 2nd Stage,2004,7.01,102639,171077,4568,"Action, Drama, Horror, Sci-Fi, Suspense",Seinen
Seikai no Senki,2000,7.64,15474,36543,1536,"Action, Romance, Sci-Fi",
Seikai no Senki II,2001,7.77,12623,25652,1195,"Action, Romance, Sci-Fi",
Seihou Bukyou Outlaw Star,1998,7.83,66321,169096,1041,"Action, Adventure, Comedy, Sci-Fi",Seinen
Hanaukyou Maid-tai,2001,6.56,14569,34796,7069,"Comedy, Romance, Ecchi",Shounen
Buzzer Beater,2005,6.49,7126,16895,7525,"Sci-Fi, Sports",
Tantei Gakuen Q,2003,7.73,15133,37798,1283,"Comedy, Drama, Mystery",Shounen
Gun x Sword,2005,7.24,34861,83382,3338,"Adventure, Drama, Sci-Fi",
Kore ga Watashi no Goshujinsama,2005,6.5,39153,80959,7451,"Comedy, Ecchi",Shounen
Ragnarök The Animation,2004,6.45,25190,52444,7777,"Action, Fantasy",
Samurai Deeper Kyou,2002,6.88,27378,59752,5163,"Action, Adventure, Comedy, Supernatural",Shounen
Stratos 4,2003,6.62,5330,13816,6684,"Comedy, Sci-Fi",
Dirty Pair,1985,7.23,8264,38214,3357,"Adventure, Comedy, Sci-Fi",
Kaleido Star,2003,7.9,37537,92152,882,"Comedy, Drama, Supernatural",
Magic Knight Rayearth,1994,7.45,31369,78425,2261,"Adventure, Fantasy",Shoujo
Shoujo Kakumei Utena,1997,8.23,71009,244173,390,"Award Winning, Drama",
Maria-sama ga Miteru: Haru,2004,7.61,13838,30312,1658,"Drama, Girls Love",Shoujo
Tales of Eternia The Animation,2001,6.18,7056,18767,9423,"Adventure, Comedy, Fantasy, Romance",
Weiß Kreuz Glühen,2002,6.51,4199,11372,7406,"Action, Drama",
Weiß Kreuz,1998,6.67,7905,20391,6398,"Action, Drama",
Fantastic Children,2004,7.49,8925,36599,2121,"Adventure, Fantasy, Mystery, Romance, Sci-Fi, Suspense",
Gokujou Seitokai,2005,6.91,7417,21551,5037,Comedy,
Mushishi,2005,8.65,295621,896321,81,"Adventure, Mystery, Slice of Life, Supernatural",Seinen
Koukaku Kidoutai: Stand Alone Complex,2002,8.42,171436,420931,212,"Award Winning, Mystery, Sci-Fi",Seinen
Karin,2005,7.1,95691,186504,4123,"Comedy, Romance, Supernatural",Shounen
Okusama wa Joshikousei (TV),2005,6.3,11627,31187,8693,"Comedy, Romance, Ecchi",Seinen
To Heart 2,2005,6.47,7841,22992,7622,"Comedy, Drama, Romance",
To Heart,1999,6.59,10726,30536,6874,"Drama, Romance",
Tide-Line Blue,2005,6.58,3415,8584,6957,"Action, Adventure, Drama",
